"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.25025,0.019158,0,0.032106,0.013647,0.00052259,-0.17658,1,0.0663,0.05,0.0663,0.01
0.2519,0.019185,0,0.032259,0.013675,0.00052216,-0.17626,1,0.0664,0.05,0.0664,0.01
0.25356,0.019212,0,0.032412,0.013702,0.00052173,-0.17594,1,0.0665,0.05,0.0665,0.01
0.25521,0.01924,0,0.032565,0.013729,0.0005213,-0.17562,1,0.0666,0.05,0.0666,0.01
0.25687,0.019267,0,0.032727,0.013758,0.00052088,-0.17529,1,0.0667,0.05,0.0667,0.01
0.25857,0.019294,0,0.032908,0.01379,0.00052048,-0.17494,1,0.0668,0.05,0.0668,0.01
0.26026,0.019321,0,0.033088,0.013821,0.00052009,-0.17459,1,0.0669,0.05,0.0669,0.01
0.26195,0.019349,0,0.033269,0.013853,0.00051969,-0.17424,1,0.067,0.05,0.067,0.01
0.26365,0.019376,0,0.03345,0.013885,0.00051929,-0.1739,1,0.0671,0.05,0.0671,0.01
0.26534,0.019403,0,0.03363,0.013916,0.00051889,-0.17355,1,0.0672,0.05,0.0672,0.01
0.26703,0.01943,0,0.033811,0.013948,0.00051849,-0.1732,1,0.0673,0.05,0.0673,0.01
0.26873,0.019457,0,0.033992,0.01398,0.0005181,-0.17285,1,0.0674,0.05,0.0674,0.01
0.27042,0.019485,0,0.034173,0.014011,0.0005177,-0.1725,1,0.0675,0.05,0.0675,0.01
0.27211,0.019512,0,0.034353,0.014043,0.0005173,-0.17216,1,0.0676,0.05,0.0676,0.01
0.27381,0.019539,0,0.034534,0.014075,0.0005169,-0.17181,1,0.0677,0.05,0.0677,0.01
0.2755,0.019566,0,0.034715,0.014106,0.0005165,-0.17146,1,0.0678,0.05,0.0678,0.01
0.27719,0.019594,0,0.034895,0.014138,0.00051611,-0.17111,1,0.0679,0.05,0.0679,0.01
0.27888,0.019621,0,0.035076,0.01417,0.00051571,-0.17077,1,0.068,0.05,0.068,0.01
0.28058,0.019648,0,0.035257,0.014201,0.00051531,-0.17042,1,0.0681,0.05,0.0681,0.01
